Scenario,PatientsPerInterval,EndBuffer,AppointmentInterval,AVGTreatedPatientsCount,AverageWaitingTime,Doctor1Utilization,Doctor2Utilization,Doctor3Utilization,Doctor4Utilization
1,3,0,26,78.8666666666667,12.4092132589053,99.2,99.4833333333333,98.8944444444444,98.0611111111111
1,3,10,26,76.8333333333333,8.57245809590513,96.0611111111111,95.6333333333333,94.9333333333334,93.5944444444444
1,3,20,26,76.6333333333333,11.6906740295614,96.9555555555555,99.2222222222222,97.3666666666667,95.5388888888889
1,3,30,26,73.7,9.98658468057098,92.0111111111111,92.65,92.5222222222222,90.8944444444444
1,3,40,26,73.8,8.53158302209924,91.4777777777778,91.6333333333333,91.6944444444445,91.0111111111111
1,3,50,26,72.9666666666667,7.32207813285557,89.7777777777778,90.0166666666667,90.6333333333333,89.35
1,3,0,27,76.6666666666667,7.99870583142002,95.5,96.1833333333333,96.0722222222222,95.0277777777778
1,3,10,27,73.9,7.11346431759806,93.6611111111111,93.3555555555556,92.7388888888889,92.2277777777778
1,3,20,27,74.4,8.0309166675688,93.3722222222222,93.1388888888889,92.4555555555555,91.7666666666667
1,3,30,27,72.3666666666667,6.51491744452481,90.2,89.8666666666667,89.95,89.2888888888889
1,3,40,27,70.4333333333333,6.62866530087369,88.8722222222222,87.7166666666667,89.4611111111111,88.0777777777778
1,3,50,27,70.8666666666667,7.56381558298133,89.0277777777778,89.5777777777778,88.5277777777778,86.6944444444444
1,3,0,28,74.1,5.01941454468167,92.1833333333333,92.1333333333333,92.7,90.9222222222222
1,3,10,28,72.4666666666667,5.01274319427059,91.1666666666667,91.1666666666667,91.1333333333334,91.5444444444444
1,3,20,28,70.8,5.29726465436787,89.4555555555555,89.4888888888889,89.8333333333333,88.2166666666667
1,3,30,28,70.9,5.25516651670786,88.7333333333333,88.2333333333333,87.9111111111111,88.0055555555555
1,3,40,28,69.3333333333333,5.48415311690152,87.9222222222222,86.6666666666667,86.6388888888889,86.8277777777778
1,3,50,28,68.1333333333333,4.65852665239694,85.3833333333334,84.1166666666666,84.7388888888889,84.2
1,3,0,29,70.9333333333333,4.90548298770631,90.6611111111111,89.1722222222222,90.2777777777778,89.4833333333333
1,3,10,29,71.0666666666667,4.42678393381044,88.2666666666667,88.4166666666667,87.5388888888889,87.7888888888889
1,3,20,29,69.5666666666667,5.02709613992779,87.8888888888889,88,88.0611111111111,88.05
1,3,30,29,68.3333333333333,4.55138382059213,86.4388888888889,85.5833333333333,86.1888888888889,85.0388888888889
1,3,40,29,67.5666666666667,4.69424032075468,84.6833333333333,85,83.9388888888889,84.0777777777778
1,3,50,29,65.4,4.49353429030201,82.1222222222222,82.5222222222222,82.3,81.6055555555556
1,3,0,30,69.3333333333333,3.22331829268646,87.1055555555556,86.7611111111111,86.4555555555556,86.0277777777778
1,3,10,30,68.0666666666667,3.41277119401828,85.0944444444445,84.9111111111111,84.4055555555555,83.5777777777778
1,3,20,30,68.1333333333333,4.16312762809881,86.6055555555555,85.8777777777778,85.6833333333334,85.4055555555556
1,3,30,30,65.9666666666667,3.0410150090374,82.5722222222222,81.6111111111111,82.3611111111111,80.9277777777778
1,3,40,30,64.8666666666667,3.05230978995438,81.3277777777778,81.4611111111111,80.9888888888889,80.5333333333333
1,3,50,30,64.4,2.95504055299584,80.95,80.7611111111111,80.4444444444444,81.4166666666667
1,3,0,31,67.8333333333333,2.6647715527719,83.3,84.6388888888889,84.4277777777778,84.1555555555556
1,3,10,31,66.7,3.09741887830823,82.7277777777778,83.9055555555556,83.8388888888889,84.1388888888889
1,3,20,31,64.9333333333333,3.19227760164794,81.3111111111111,81.0944444444444,81.6388888888889,80.2611111111111
1,3,30,31,65.0666666666667,3.47005518320817,82.2666666666667,82.25,82.0777777777778,81.9055555555556
1,3,40,31,63.5,2.60893514669443,78.3444444444444,78.1166666666667,78.3388888888889,77.8777777777778
1,3,50,31,62.3666666666667,2.63085869364492,77.3277777777778,77.2833333333334,76.9555555555555,77.2777777777778
1,3,0,32,64.9333333333333,2.85751743644001,82.1888888888889,81.5111111111111,81.1222222222222,81.8
1,3,10,32,64.9333333333333,2.70383789700487,80.4222222222222,80.9666666666667,80.2611111111111,80.3888888888889
1,3,20,32,64,2.69202327630884,81.4777777777778,80.4611111111111,81.2611111111111,80.8333333333333
1,3,30,32,61.6666666666667,2.50702355770441,78.4222222222222,77.1055555555556,77.9555555555556,77.1111111111111
1,3,40,32,61.9666666666667,2.68237844555385,76.6722222222222,77.8277777777778,76.8277777777778,77.5
1,3,50,32,61.2,2.0983401736532,75.9555555555555,75.6666666666667,76.85,75.3166666666666
1,3,0,33,64.2333333333333,2.0201098549937,80.8555555555556,80.1666666666667,80.35,80.4888888888889
1,3,10,33,61.8666666666667,2.37309646746354,77.9277777777778,78.2611111111111,78.05,77.6388888888889
1,3,20,33,62.2333333333333,2.05580895406814,78.7944444444444,78.05,78.1444444444444,77.8277777777778
1,3,30,33,61.5666666666667,2.21910152536694,77.0777777777778,76.8555555555555,75.8833333333333,76.7333333333333
1,3,40,33,59.2666666666667,2.20890746410088,74.8055555555556,74.4611111111111,75.4611111111111,74.0944444444444
1,3,50,33,59.4666666666667,1.9221993088533,74.1,74.4888888888889,74.1666666666667,73.4111111111111
1,3,0,34,61.5666666666667,1.64794175504828,76.1277777777778,76.0611111111111,75.7277777777778,75.9166666666667
1,3,10,34,61.7666666666667,1.51198902784423,75.9666666666667,76.9111111111111,76.4444444444445,76.85
1,3,20,34,60.6666666666667,2.05238397192326,76.8611111111111,76.1611111111111,75.65,76.6388888888889
