Scenario,PatientsPerInterval,EndBuffer,AppointmentInterval,AVGTreatedPatientsCount,AverageWaitingTime,Doctor1Utilization,Doctor2Utilization,Doctor3Utilization,Doctor4Utilization
1,3,0,25,81.85,16.5825910889655,102.408333333333,103.45,102.891666666667,101.05
1,3,10,25,80.25,15.230632003762,100.841666666667,100.875,100.316666666667,100.558333333333
1,3,20,25,78.55,13.9446738612357,98.7333333333333,98.4583333333333,98.9166666666667,97.75
1,3,30,25,76.2,11.0699760224231,96.575,94.9833333333333,94.7916666666667,94.375
1,3,40,25,76.75,11.3616998361399,95.4666666666667,94.325,94.7083333333333,92.8833333333333
1,3,50,25,75.35,10.0662777172764,94.8083333333333,94.7666666666667,94.4416666666666,91.6
1,3,0,30,69.45,3.60525484684071,86.15,86.7583333333333,85.6416666666667,85.5583333333333
1,3,10,30,68.15,4.29005725846471,86.1833333333333,86.3083333333333,85.6666666666667,84.75
1,3,20,30,67.8,3.58250158803419,85.6166666666667,85.975,84.5333333333333,84.4166666666667
1,3,30,30,66,3.38691288434911,82.5583333333333,81.8916666666667,82.5666666666667,82.675
1,3,40,30,65.2,4.25979396018575,80.825,80.6,80.5916666666667,80.9666666666667
1,3,50,30,65.25,3.51464180025025,81.75,80.775,82.1916666666667,80.8416666666667
1,3,0,35,61.25,1.58068792085903,75.1416666666667,75.5083333333333,76.35,74.2416666666667
1,3,10,35,59,1.55919367221889,74.0916666666667,72.7916666666667,73.3916666666667,72.2916666666667
1,3,20,35,59.55,2.73126530366454,75.525,75.5,76.5416666666667,76.2333333333333
1,3,30,35,58.75,1.63192535627377,73.6083333333333,74.1166666666667,73.4416666666667,73.675
1,3,40,35,58,1.61402870771211,72.475,72.525,72.15,72.05
1,3,50,35,56,1.93472277436887,71.4,71.1166666666667,71.075,70.7583333333333
1,3,0,40,54.95,1.07306717364066,69.2,68.5416666666667,69.45,69.1166666666666
1,3,10,40,52.45,0.83735007952544,64.4416666666667,65.5333333333333,65.5833333333333,64.8833333333333
