Scenario,PatientsPerInterval,EndBuffer,AppointmentInterval,AVGTreatedPatientsCount,AverageWaitingTime,Doctor1Utilization,Doctor2Utilization,Doctor3Utilization,Doctor4Utilization
1,4,0,35,78.76,10.2148212339332,98.2516666666666,98.125,98.4024999999999,97.5266666666666
2,3,0,31,78.015,9.18709719774452,97.7383333333333,97.8675,97.5333333333333,97.3633333333333
2,5,0,31,77.965,9.51442362555,97.6833333333333,98.1033333333333,97.9183333333333,97.6691666666666
2,4,0,31,77.84,8.58600511423675,97.1891666666667,97.1825,96.8333333333334,96.8875
2,3,20,30,77.76,11.5820135870209,97.0941666666666,97.4325,97.1158333333333,96.8133333333333
3,3,0,26,77.575,9.97179255422416,97.89,97.4933333333334,96.7950000000001,96.2733333333333
2,5,20,36,66.625,3.40863934717522,83.4016666666667,83.2166666666667,82.79,82.825
3,3,0,31,66.795,3.01828493610265,83.7225,83.7,83.915,83.1958333333333
3,3,30,29,67.24,4.15443718709836,84.1641666666666,84.0766666666667,83.8583333333333,83.6375
2,3,20,36,66.635,3.55217437199307,83.1058333333334,83.3725,83.44,83.3841666666667
2,4,40,35,65.955,4.33262972731158,82.935,83.0225,82.8116666666667,82.7691666666667
2,5,30,30,76.34,11.7835182312408,95.4708333333334,95.7991666666667,95.5875,95.0341666666666
2,3,30,30,76.435,11.7184487360161,95.8074999999999,95.5974999999999,95.405,94.9841666666667
1,4,30,35,75.81,9.40458446120447,94.4058333333334,94.6066666666666,94.2566666666667,93.7866666666667
2,4,30,31,75.155,9.21023515185004,94.0666666666666,94.5283333333334,94.2308333333334,93.9333333333333
2,3,30,31,74.915,8.51368522000029,93.7350000000001,93.6633333333333,93.5041666666666,93.4375000000001
1,3,40,26,74.215,10.5300623743426,93.3441666666667,93.0708333333334,92.9025,91.9041666666666
1,3,30,26,73.995,9.62117632120224,92.65,92.8666666666666,92.6541666666667,91.4591666666667
2,5,40,31,73.255,8.03919788113089,91.2883333333333,91.1208333333333,91.0925,90.8566666666666
2,3,40,31,73.42,8.68803456386172,92.1875,91.7608333333333,91.6116666666667,91.6208333333333
2,4,40,31,73.55,9.61418689841012,92.3724999999999,92.345,91.94,91.9208333333333
