Scenario,PatientsPerInterval,EndBuffer,AppointmentInterval,AVGTreatedPatientsCount,AverageWaitingTime,Doctor1Utilization,Doctor2Utilization,Doctor3Utilization,Doctor4Utilization
1,3,0,20,98.9,64.7360553132317,124.4,124.35,123.416666666667,123.883333333333
1,3,10,20,97.4,71.4459134055684,124.733333333333,122.833333333333,122.55,121.05
1,3,20,20,96.6,60.6171694487853,121.833333333333,121.183333333333,121.116666666667,119.15
1,3,30,20,95.1,63.9355121128962,121.033333333333,121.2,118.616666666667,119.233333333333
1,3,40,20,93.8,63.3883874996047,118.85,118.15,116.383333333333,115.883333333333
1,3,50,20,91.5,63.1170272936093,114.216666666667,115.85,113.45,112.6
1,3,0,30,69.2,4.65387768319684,88.2666666666667,87.4,87.3166666666667,87.0333333333333
1,3,10,30,67.7,2.86499943485152,82.3166666666667,82.7,83.8,82.45
1,3,20,30,67.5,3.09620321433983,84.1333333333333,85,85.4833333333333,84.5666666666667
1,3,30,30,66.5,3.0582205048965,82,81.1666666666667,81.5166666666667,81.85
1,3,40,30,64.7,4.09526331048719,82.0833333333333,81.1166666666667,81.6,80.0833333333333
1,3,50,30,65.6,2.51005913189215,80.9166666666667,80.45,80.5666666666667,80.95
1,3,0,40,54.2,0.763766213811631,67.1,68.5,67.2,67.5166666666667
1,3,10,40,52.7,1.11015542315209,68.7833333333333,69,67.65,68.05
1,3,20,40,53.3,1.04068715700791,67.1333333333333,66.6,68.35,67.1333333333333
1,3,30,40,51.4,0.540458505608339,63.2,63.0833333333333,61.8,63.6833333333333
1,3,40,40,51.8,0.721413349084191,62.8166666666667,64,64.2666666666667,63.8166666666667
1,3,50,40,50.1,1.14008464154893,62.6666666666667,62.9666666666667,63.4,61.7833333333333
1,3,0,50,45.4,0.600168832495947,56.8833333333333,57.2333333333333,57.1333333333333,58.0333333333333
1,3,10,50,44.1,1.01472192676439,56.4166666666667,56.15,55.5166666666667,55.9166666666667
1,3,20,50,44.3,0.501247131140963,54.5666666666667,55.85,56.35,55.95
1,3,30,50,44.3,0.405751199704688,54.1166666666667,56.2333333333333,54.2166666666667,54.7166666666667
1,3,40,50,43.2,0.49333569877529,54.15,55.35,55.95,54.0666666666667
1,3,50,50,43.1,0.791090300951333,56.0666666666667,55.0166666666667,54.3166666666667,54.55
1,4,0,20,129.3,169.473522248528,160.45,161.483333333333,160.116666666667,159.883333333333
1,4,10,20,127.9,175.792680675526,161.216666666667,160.466666666667,159.2,158.116666666667
1,4,20,20,126.2,169.084640174716,156.866666666667,156.466666666667,156.533333333333,155.65
1,4,30,20,123.6,175.051902224261,155.133333333333,155.516666666667,155.133333333333,154.483333333333
1,4,40,20,121.7,168.71653414232,154.416666666667,153.483333333333,153.6,152.433333333333
1,4,50,20,119.7,166.472778031928,150.533333333333,150.133333333333,150.05,148.283333333333
1,4,0,30,90.2,42.3256168683885,114.983333333333,116.166666666667,114.883333333333,114.4
1,4,10,30,87.6,35.9584189971037,109.866666666667,109.233333333333,109.15,109.6
