Scenario,PatientsPerInterval,EndBuffer,AppointmentInterval,AVGTreatedPatientsCount,AverageWaitingTime,Doctor1Utilization,Doctor2Utilization,Doctor3Utilization,Doctor4Utilization,LowerCI,UpperCI
3,3,0,24,53.405,22.4387593293138,113.643055555556,112.523611111111,111.495833333333,109.758333333333,20.9523004230625,23.9252182355651
3,4,0,24,68.34,71.1705619318323,144.523611111111,143.158333333333,141.986111111111,140.465277777778,69.3360073326591,73.0051165310054
3,5,0,24,83.315,124.257737061952,174.630555555556,173.695833333333,172.822222222222,171.323611111111,122.209985784831,126.305488339072
3,6,0,24,98.49,178.382075280932,205.041666666667,204.688888888889,203.341666666667,202.698611111111,176.115129432222,180.649021129641
3,3,0,26,49.71,13.7990704401892,105.236111111111,103.972222222222,102.620833333333,100.723611111111,12.7108488042642,14.8872920761141
3,4,0,26,63.555,55.7713564063404,135.461111111111,133.763888888889,131.991666666667,130.244444444444,54.077770978088,57.4649418345929
3,5,0,26,77.33,103.885003493419,162.790277777778,161.745833333333,160.952777777778,159.619444444444,101.807188325442,105.962818661397
3,6,0,26,91.15,153.928395907364,191.091666666667,191.155555555556,189.591666666667,188.477777777778,151.75386875771,156.102923057018
3,3,0,28,46.415,9.10730650982536,98.5847222222222,97.1736111111111,96.7722222222223,95.3041666666667,8.16010294172576,10.054510077925
3,4,0,28,59.43,39.8835387063312,125.376388888889,124.336111111111,122.702777777778,121.319444444444,38.1610719855848,41.6060054270777
3,5,0,28,72.57,87.6244118312979,153.456944444444,152.722222222222,151.158333333333,150.351388888889,85.6343583560867,89.6144653065091
3,6,0,28,85.125,132.201905694534,179.577777777778,178.515277777778,177.325,176.176388888889,130.129086306351,134.274725082716
3,3,0,30,44.655,6.27529569861054,93.8986111111112,93.4833333333333,93.2263888888888,91.7597222222222,5.69994276826398,6.85064862895709
3,4,0,30,56.38,30.034901609759,119.101388888889,117.722222222222,116.688888888889,115.090277777778,28.506735462781,31.5630677567371
3,5,0,30,68.47,71.6701903054634,144.429166666667,142.959722222222,141.556944444444,141.029166666667,69.6244456920091,73.7159349189177
3,6,0,30,80.44,113.989311885182,168.834722222222,168.147222222222,167.102777777778,165.325,111.85533113068,116.123292639685
3,3,0,32,42.235,3.89854914158445,88.1000000000001,88.3638888888889,87.5125,86.9888888888889,3.506932038868,4.2901662443009
3,4,0,32,53.525,22.8576451093689,113.936111111111,112.868055555556,111.490277777778,109.683333333333,21.3086183301586,24.4066718885792
3,5,0,32,64.645,57.4749520167693,136.475,134.697222222222,133.633333333333,132.830555555555,55.6824698820409,59.2674341514976
3,6,0,32,76.045,98.7225174405148,160.193055555556,159.597222222222,158.113888888889,156.754166666667,96.6334317921558,100.811603088874
3,3,0,34,40.245,3.19955420236911,83.8194444444445,84.2736111111111,83.4902777777778,82.8402777777778,2.86996511499789,3.52914328974034
3,4,0,34,50.85,16.5229761131779,108.409722222222,107.030555555556,106.006944444444,104.219444444444,15.2781484292383,17.7678037971175
3,5,0,34,61.26,47.3467087754876,130.490277777778,129.052777777778,127.4375,125.994444444444,45.5208931331276,49.1725244178477
3,6,0,34,71.955,82.8598098156629,151.294444444445,150.405555555556,148.941666666667,147.808333333333,81.0785213393103,84.6410982920154
3,3,0,36,38.395,2.20665621653796,79.9805555555555,80.2861111111111,79.9013888888889,79.0888888888889,1.969434912241,2.44387752083491
3,4,0,36,48.44,10.4652873998505,102.044444444444,101.573611111111,100.55,99.4819444444444,9.51422386483721,11.4163509348637
3,5,0,36,58.46,36.6153149451879,123.672222222222,122.223611111111,120.943055555556,119.556944444444,35.0160597086884,38.2145701816874
3,6,0,36,68.4,71.2700739066979,144.888888888889,143.761111111111,141.843055555556,140.383333333333,69.4420662092918,73.098081604104
