Scenario,PatientsPerInterval,EndBuffer,AppointmentInterval,AVGTreatedPatientsCount,AverageWaitingTime,Doctor1Utilization,Doctor2Utilization,Doctor3Utilization,Doctor4Utilization,LowerCI,UpperCI
1,3,0,24,54.27,21.8790203868257,114.238888888889,113.620833333333,112.806944444444,110.276388888889,20.4641021669316,23.2939386067199
1,4,0,24,69.99,74.0402578767737,146.315277777778,146.752777777778,145.395833333333,144.541666666667,72.1220041859595,75.9585115675879
1,5,0,24,85.51,131.633930014436,178.555555555556,178.466666666667,178.704166666667,177.290277777778,129.496892717509,133.770967311362
1,6,0,24,100.765,188.145959465942,210.433333333333,210.451388888889,210.311111111111,209.338888888889,185.672691849769,190.619227082114
2,3,0,24,62.38,48.8427403937967,131.229166666667,131.005555555556,131.275,129.0125,47.1299866778706,50.5554941097228
1,3,0,26,49.865,14.144267930249,105.372222222222,105.301388888889,103.523611111111,102.066666666667,12.9247651845064,15.3637706759917
1,4,0,26,64.12,55.8238390560492,133.643055555556,133.815277777778,132.718055555556,132.047222222222,53.8703379638404,57.7773401482581
1,5,0,26,78.13,107.412863074855,162.9625,162.9875,162.434722222222,162.058333333333,105.423393492928,109.402332656783
1,6,0,26,92.165,160.840536082224,192.868055555556,193.463888888889,192.919444444444,192.665277777778,158.853384884751,162.827687279697
2,3,0,26,57.065,34.3093322707571,120.229166666667,119.5875,119.166666666667,118.801388888889,32.8313304463282,35.787334095186
1,3,0,28,47.02,9.04635095016267,98.7222222222222,99.2819444444444,98.5361111111111,95.8847222222222,8.2146806325677,9.87802126775764
1,4,0,28,60.085,42.9994523340177,125.598611111111,125.236111111111,125.072222222222,123.956944444444,41.1562312663024,44.842673401733
1,5,0,28,72.92,89.0210742896765,152.352777777778,152.305555555555,152.25,151.183333333333,87.0765814539758,90.9655671253772
1,6,0,28,85.995,138.586282922584,179.929166666667,180.018055555556,179.531944444444,179.391666666667,136.470174625243,140.702391219925
2,3,0,28,54.045,23.0910180440629,112.813888888889,113.084722222222,112.036111111111,112.1625,21.608082357077,24.5739537310488
1,3,0,30,45.545,6.6030673102065,95.9222222222223,94.9138888888889,94.9958333333333,93.0027777777778,5.87688073565739,7.32925388475561
